name;provider;release_date;genres;price;platform;size;is_plus_exclusive
Mighty No. 9;Deep Silver;;Arcade;19,99 €;PS3, PS4;"
                3.38 GB
              ";
A Q*bert: Rebooted Game and Pixels Theme Bundle;LOOT Interactive;;Arcade;10,99 €;PS4, PS Vita, PS3;;
In Space We Brawl;FORGE REPLY S.R.L.;;Shooter;8,99 €;PS3, PS4;;
Oddworld: New 'n' Tasty (PS4™);Oddworld Inhabitants. Inc;;Aventura;19,99 €;PS3, PS4, PS Vita;"
                10.98 GB
              ";
Journey™;Sony Interactive Entertainment Europe;;Aventura;14,99 €;PS3, PS4;"
                3.29 GB
              ";
Child of Light;UBISOFT ENTERTAINMENT SA;;Juegos de rol;14,99 €;PS3, PS4;"
                4.37 GB
              ";
Fat Princess: Paquete Supergrande de aniversario;Sony Interactive Entertainment Europe;;Estrategia;14,99 €;PS3;;
99Vidas;"
Juego completo
Lanzado 8 Dic 2017












                  127 Calificaciones
                

";;Acción;9,99 €;PS3, PS4, PS Vita;"
                2.87 GB
              ";
Rag Doll Kung Fu™: Fists of Plastic;Sony Interactive Entertainment Europe;;Lucha;4,99 €;PS3;;
Teslagrad;RAIN AS;;Acción;14,99 €;PS3, PS4, PS Vita;"
                2.11 GB
              ";
LOOT™ Ultimate Games & Themes Bundle;LOOT Interactive;;Estrategia;29,99 €;PS3, PS4, PS Vita;"
                3.83 GB
              ";
FEZ;"
Juego
Lanzado 26 Mar 2014












                  18122 Calificaciones
                

";;Aventura;9,99 €;PS3, PS4, PS Vita;;
Super Mega Baseball;"
Paquete
Lanzado 1 Abr 2015












                  406 Calificaciones
                

";;Deportes;19,99 €;PS3, PS4;;
HELLDIVERS™;Sony Interactive Entertainment Europe;;Español;19,99 €;PS3, PS4, PS Vita;"
                6.99 GB
              ";
Hotline Miami 2: Wrong Number;Devolver Digital;;Acción;14,99 €;PS3, PS4, PS Vita;"
                1.23 GB
              ";
The Unfinished Swan™;Sony Interactive Entertainment Europe;;Único;12,99 €;PS3, PS4, PS Vita;"
                4.14 GB
              ";
BADLAND: Game of the Year Edition;"
Paquete
Lanzado 28 Mayo 2015












                  4213 Calificaciones
                

";;Puzzle;11,99 €;PS3, PS4, PS Vita;;
Flower™;Sony Interactive Entertainment Europe;;Holandés;7,99 €;PS3, PS4, PS Vita;"
                1.88 GB
              ";
Hotline Miami;Devolver Digital;;Acción;9,99 €;PS3, PS4, PS Vita;"
                1.84 GB
              ";
Sky Force Anniversary;INFINITE DREAMS SP. Z O.O.;;Shooter;9,99 €;PS3, PS4, PS Vita;;
The Swapper;Curve Digital;;Puzzle;14,99 €;PS3, PS4, PS Vita;;
HELLDIVERS™: Edición definitiva de Supertierra;Sony Interactive Entertainment Europe;;Shooter;29,99 €;PS3, PS4, PS Vita;"
                8.22 GB
              ";
Hyper Void;"
Paquete
Lanzado 8 Ene 2016












                  1775 Calificaciones
                

";;Arcade;7,49 €;PS3, PS4;"
                1.8 GB
              ";
Quantum Conundrum™;Square Enix LTD;;;10,99 €;PS3;"
                1.61 GB
              ";
Shovel Knight: Treasure Trove;"
Paquete
Lanzado 23 Abr 2015












                  3949 Calificaciones
                

";;Aventura;24,99 €;PS3, PS4, PS Vita;;
Aaru's Awakening;"
Paquete
Lanzado 8 Abr 2015












                  5686 Calificaciones
                

";;Acción;12,99 €;PS3, PS4;"
                3.72 GB
              ";
Abyss Odyssey™;ATLUS USA;;;14,99 €;PS3;;
Another World - 20th Anniversary Edition;DIGITAL LOUNGE;;Acción;7,99 €;PS3, PS4, PS Vita;;
CounterSpy™;Sony Interactive Entertainment Europe;;Acción;12,99 €;PS3, PS4, PS Vita;"
                3.36 GB
              ";
Doki-Doki Universe™;Sony Interactive Entertainment Europe;;;7,49 €;PS3;;
flOw™;Sony Interactive Entertainment Europe;;Holandés;4,99 €;PS4, PS Vita, PS3;"
                1.04 GB
              ";
NAMCO Generations Bundle;BANDAI NAMCO ENTERTAINMENT EUROPE;;Arcade;14,99 €;PS3;;
Pumped BMX +;Curve Digital;;Deportes;9,99 €;PS3, PS4, PS Vita;;
RESOGUN™;Sony Interactive Entertainment Europe;;Inglés;12,99 €;PS3, PS4, PS Vita;"
                1.05 GB
              ";
Retro/Grade;24 Caret Games;;;9,99 €;PS3;;
Truck Racer;BIGBEN INTERACTIVE SA;;Carreras;12,99 €;PS3;;
WWE 2K16;2K;;Acción;49,99 €;PS3;"
                14.66 GB
              ";
Ar nosurge: Ode to an Unborn Star;Koei Tecmo Europe Ltd;;Juegos de rol;49,99 €;PS3;"
                12.14 GB
              ";
Bundle CoJ Gunslinger + FC Blood Dragon;UBISOFT ENTERTAINMENT SA;;Aventura;24,99 €;PS3;"
                3.84 GB
              ";
Everybody's Golf®;Sony Interactive Entertainment Europe;;Deportes;14,99 €;PS3;"
                3.24 GB
              ";
First-person Bundle;GRIP DIGITAL S.R.O.;;Puzzle;9,99 €;PS3, PS4;"
                5.58 GB
              ";
Flower™;Sony Interactive Entertainment Europe;;;7,99 €;PS3, PS Vita;"
                1.07 GB
              ";
Joe Danger 2: The Movie;Hello Games LTD;;;12,99 €;PS3;"
                1.14 GB
              ";
Playstation®Move Heroes;Sony Interactive Entertainment Europe;;;1,99 €;PS3;"
                11 GB
              ";
RACE THE SUN ®;Flippfly LLC;;Carreras;8,99 €;PS3, PS4, PS Vita;;
Rainbow Moon Cross-Save Bundle;eastasiasoft;;Juegos de rol;19,99 €;PS3;"
                3.17 GB
              ";
Rogue Legacy;"
Paquete
Lanzado 30 Jul 2014












                  6704 Calificaciones
                

";;Lucha;3,99 €;PS3, PS4, PS Vita;"
                1.66 GB
              ";
Sound Shapes™;Sony Interactive Entertainment Europe;;Único;12,99 €;PS Vita, PS3;"
                3.22 GB
              ";
STARWHAL;"
Paquete
Lanzado 4 Mar 2015












                  1396 Calificaciones
                

";;Lucha;11,99 €;PS3, PS4;"
                1.11 GB
              ";
Tiny Troopers Joint Ops;WIRED PRODUCTIONS LIMITED;;Lucha;6,99 €;PS3, PS4, PS Vita;"
                4.09 GB
              ";
Tower of Guns;GRIP DIGITAL S.R.O.;;Shooter;14,49 €;PS3, PS4;"
                2.95 GB
              ";
Aqua Vita™;Sony Interactive Entertainment Europe;;;2,99 €;PS3;;
Battle Princess of Arcadias;NIS America;;Juegos de rol;29,99 €;PS3;"
                1.01 GB
              ";
Blood Knights;"
Juego PSN
Lanzado 20 Nov 2013












                  393 Calificaciones
                

";;;14,99 €;PS3;"
                1.47 GB
              ";
Dead Space™ Extraction;EA Swiss Sarl;;Shooter;14,99 €;PS3;"
                3.45 GB
              ";
.detuned™;Sony Interactive Entertainment Europe;;Único;2,99 €;PS3;;
Dragon Fin Soup;"
Paquete
Lanzado 3 Nov 2015












                  4477 Calificaciones
                

";;Juegos de rol;19,99 €;PS3, PS4, PS Vita;"
                1.38 GB
              ";
flOw™;Sony Interactive Entertainment Europe;;Único;4,99 €;PS3, PS4, PS Vita;"
                1.04 GB
              ";
From Dust™;UBISOFT ENTERTAINMENT SA;;Estrategia;14,99 €;PS3;;
Giana Sisters: Twisted Dreams;"
Juego PSN
Lanzado 19 Jun 2013












                  1844 Calificaciones
                

";;Puzzle;14,99 €;PS3;"
                1.65 GB
              ";
Hohokum™;Sony Interactive Entertainment Europe;;Puzzle;12,99 €;PS3, PS4, PS Vita;"
                7.07 GB
              ";
Hydrophobia Prophecy;Cherry Pop Games Limited;;Acción;1,49 €;PS3;"
                1.77 GB
              ";
Joe Danger;Hello Games LTD;;Carreras;12,99 €;PS3;;
KickBeat;ZEN STUDIOS LTD;;;8,99 €;PS3;"
                2.16 GB
              ";
Linger in Shadows™;Sony Interactive Entertainment Europe;;Único;2,99 €;PS3;;
Lost Planet 3;CE EUROPE LIMITED;;Shooter;12,99 €;PS3;"
                15.49 GB
              ";
LUFTRAUSERS;Devolver Digital;;Arcade;8,99 €;PS3;;
Monster World IV;SEGA EUROPE LTD;;Juegos de rol;4,49 €;PS3;;
NAtURAL DOCtRINE;NIS America;;Estrategia;19,99 €;PS3;"
                6.56 GB
              ";
Nova-111;Curve Digital;;Estrategia;9,99 €;PS3, PS4, PS Vita;;
